column,dtype,status,description,counties_firing,fire_rate,nulls,null_policy,size_tier,r_with_size,notes
content_length,int64,ships,"Characters of lead-section text after boilerplate stripping. The retired incumbent scalar, kept as one column among 29.",3144,1.0,0,never null; absence is False/0,1 (size in disguise),0.355,
has_manufacturing,bool,ships,"Lead names manufacturing, a factory, a mill, or an industrial park.",39,0.0124,0,never null; absence is False/0,3 (size-free),0.064,
has_mining,bool,ships,"Lead names mining, a mine, coal, or a quarry.",40,0.0127,0,never null; absence is False/0,3 (size-free),-0.018,
has_oil_gas,bool,ships,"Lead names oil, petroleum, natural gas, a refinery, or an oilfield.",17,0.0054,0,never null; absence is False/0,3 (size-free),0.011,
has_agriculture,bool,ships,"Lead names agriculture, farming, farmland, ranching, crops, or livestock.",123,0.0391,0,never null; absence is False/0,3 (size-free),0.049,
has_tourism,bool,ships,"Lead names tourism, a resort, skiing, a casino, or vacationing.",90,0.0286,0,never null; absence is False/0,3 (size-free),0.086,
has_timber,bool,ships,"Lead names timber, logging, lumber, forestry, or a sawmill.",28,0.0089,0,never null; absence is False/0,3 (size-free),-0.016,
has_logistics,bool,ships,"Lead names shipping, freight, a distribution center, or warehousing.",11,0.0035,0,never null; absence is False/0,3 (size-free),0.075,
has_university,bool,ships,Lead names a university or college.,121,0.0385,0,never null; absence is False/0,2 (partly size),0.15,
has_military_base,bool,ships,"Lead names a military installation by installation noun (base, station, depot, arsenal, garrison). Tightened after a precision check: bare `Fort X` and `Army` matched city names and Civil War prose.",21,0.0067,0,never null; absence is False/0,3 (size-free),0.105,
has_protected_land,bool,ships,"Lead names a National Park, National Forest, National Monument, or Wildlife Refuge.",81,0.0258,0,never null; absence is False/0,3 (size-free),0.019,
has_tribal_land,bool,ships,Lead names present-tense tribal land or sovereignty. Tightened after a precision check: bare `Indian` matched the American Indian Wars and reservations dissolved in the 1830s.,79,0.0251,0,never null; absence is False/0,3 (size-free),-0.002,
has_river,bool,ships,Lead names a River or Creek.,489,0.1555,0,never null; absence is False/0,3 (size-free),0.094,
has_interstate,bool,ships,"Lead names an Interstate, U.S. Route, or Highway.",58,0.0184,0,never null; absence is False/0,3 (size-free),0.035,
has_port,bool,ships,"Lead names a Port of, Harbor/Harbour, or seaport.",18,0.0057,0,never null; absence is False/0,3 (size-free),0.101,
n_industry_mentions,int64,ships,Count of the seven industry flags that fired on the lead. 0 on 92% of counties.,258,0.0821,0,never null; absence is False/0,3 (size-free),0.079,
has_metro_attachment,bool,ships,Lead states the county belongs to a metropolitan or micropolitan statistical area.,1603,0.5099,0,never null; absence is False/0,1 (size in disguise),0.541,Ablated in the cross-pillar sweeps as a restatement of Source F's `metro_2023`. Against an external target it is a legitimate free feature.
has_namesake,bool,ships,Lead contains 'named for' / 'named after' / 'named in honor of'.,1391,0.4424,0,never null; absence is False/0,3 (size-free),-0.09,
founding_year,float64,ships,Year captured from a founding clause (created/formed/organized/founded/established/incorporated). Null where the lead states none.,1214,0.3861,1930,null means no founding clause in the lead; there is no numeric sentinel for absence,1 (size in disguise),-0.395,
n_distinct_proper_nouns,int64,ships,"Count of distinct capitalized tokens excluding template boilerplate ('County', 'Census', state names). Measures named content rather than prose length.",3112,0.9898,0,never null; absence is False/0,1 (size in disguise),0.328,
sec_has_manufacturing,bool,ships,Economy section names manufacturing.,189,0.0601,0,never null; absence is False/0,2 (partly size),0.163,
sec_has_mining,bool,ships,Economy section names mining.,82,0.0261,0,never null; absence is False/0,3 (size-free),0.033,
sec_has_oil_gas,bool,ships,Economy section names oil or gas.,64,0.0204,0,never null; absence is False/0,3 (size-free),-0.029,
sec_has_agriculture,bool,ships,Economy section names agriculture.,235,0.0747,0,never null; absence is False/0,3 (size-free),0.059,
sec_has_tourism,bool,ships,Economy section names tourism.,119,0.0378,0,never null; absence is False/0,3 (size-free),0.094,
sec_has_timber,bool,ships,Economy section names timber.,77,0.0245,0,never null; absence is False/0,3 (size-free),0.009,
sec_has_logistics,bool,ships,Economy section names logistics.,42,0.0134,0,never null; absence is False/0,3 (size-free),0.087,
sec_n_industry_mentions,int64,ships,Count of the seven industry flags that fired on the economy section. Carries 97.6% of the section gain and is effectively size-independent.,410,0.1304,0,never null; absence is False/0,3 (size-free),0.11,
has_economy_section,bool,ships,Article has a body section whose title marks it economic.,660,0.2099,0,never null; absence is False/0,2 (partly size),0.268,
n_body_sections,int64,diagnostic,Count of body sections in the article. DIAGNOSTIC -- a size proxy (r = 0.550 with county size) carrying 2.4% of the block's lift.,3144,1.0,0,never null; absence is False/0,unscanned,,
has_usda_echo,bool,diagnostic,"Lead restates USDA's own county classification. DIAGNOSTIC -- Source F's `distress_count` is built from those classifications, so this detector must never predict them.",16,0.0051,0,never null; absence is False/0,unscanned,,
