fips_code,flag,section_title,matched,snippet,historical_marker,widening,county_name,tier
47011,has_oil_gas,Infrastructure,natural gas,"nited Hydrogen, and Wacker. Chattanooga Gas , a subsidiary of Southern Company , provides natural gas to Cleveland and surrounding areas. Healthcare Prior to 2008, the county's two main hospi",False,economy -> economy_plus,"Bradley County, Tennessee",mid
12071,has_logistics,Transportation,shipping,"for oil distribution. However, Port Boca Grande has been in decline for many years as the shipping industry has moved north, especially to the Port of Tampa . In addition, a private enterp",False,economy -> economy_plus,"Lee County, Florida",rich
05105,has_tourism,Tourism,tourists, popular annual event is the Arkansas Goat Festival held in the Fall drawing thousands of tourists from around the country. Perry County is also the location of Heifer Ranch Archived May 1,False,economy -> economy_plus,"Perry County, Arkansas",thin
13119,has_logistics,Infrastructure,freight,"Infrastructure Railroad The Hartwell Railroad operates freight service through the eastern portion of Franklin County throughout the Martin, Lavonia, Ca",False,economy -> economy_plus,"Franklin County, Georgia",rich
12061,has_timber,Transportation,lumber,"Beach for off-line customers that don't have direct rail service via spurs. There are two lumber and sheetrock/structural steel customers who receive boxcars, center beam and bulkhead fl",False,economy -> economy_plus,"Indian River County, Florida",rich
45079,has_logistics,Transportation,freight," facility for CSX Transportation , a company that transports over one million carloads of freight on South Carolina's rail network. Major infrastructure Columbia Station Fort Jackson McEn",False,economy -> economy_plus,"Richland County, South Carolina",rich
41033,has_manufacturing,Transportation,industrial park,taking off from the American Legion Air Field. The airfield has since been replaced by an industrial park.,False,economy -> economy_plus,"Josephine County, Oregon",mid
51157,has_manufacturing,Government,manufacturing,"a commercial tax base has resulted in high taxes for homeowners. The county does not have manufacturing, large box stores, and other similar commercial establishments and hence has a commercial",False,economy -> economy_plus,"Rappahannock County, Virginia",mid
47157,has_manufacturing,Recreation,factory,", downtown Memphis Chucalissa Indian Village , ancient Native American site Gibson Guitar factory tour Graceland , former home of Elvis Presley Indie Memphis , film festival Memphis Botan",False,economy -> economy_plus,"Shelby County, Tennessee",rich
26033,has_manufacturing,Transportation,manufacturing,"third major announcement from the organization — guiding Michigan's aerospace and defense manufacturing community within the global industry. Previously, MAMA announced plans for a Oscoda, Mich",False,economy -> economy_plus,"Chippewa County, Michigan",rich
06029,has_tourism,Recreation,ski,"eback riding and water skiing ( Lake Isabella , Lake Buena Vista, Lake Ming , and private ski ranches). Off-roading and other motorsports take place at Jawbone Canyon , California Cit",False,economy -> economy_plus,"Kern County, California",rich
